Cruise,Ship,Date,Latitude,Longitude,Abundance per m2,Species
CALCOFI 1604,SHIMADA,4/17/16,35.308,-121.962,931.35,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,3/28/17,32.958,-117.318,24.674,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,3/29/17,32.912,-117.395,15.45,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,3/29/17,32.347,-118.553,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,3/30/17,32.18,-118.897,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,3/30/17,32.012,-119.235,11.232,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/3/17,32.648,-119.485,172.27,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/4/17,32.92,-118.937,34.888,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/6/17,33.155,-120.005,49.551,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/8/17,33.245,-121.443,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/9/17,34.175,-119.51,712.6,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/11/17,33.815,-121.842,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/12/17,34.722,-121.547,61.823,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/13/17,35.022,-120.915,82.08,Thysanoessa spinifera - All phases and stages
CALCOFI 1704,SHIMADA,4/13/17,34.888,-121.2,20.564,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/5/18,32.918,-117.398,22.736,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/5/18,32.848,-117.523,33.768,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/6/18,32.678,-117.875,19.504,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/9/18,32.083,-120.633,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/10/18,33.417,-117.908,31.408,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/10/18,33.252,-118.25,11.685,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/10/18,32.417,-119.96,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/11/18,33.657,-118.968,174.468,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/11/18,33.483,-117.768,210.866,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/14/18,32.657,-121.032,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/16/18,33.877,-120.132,630.08,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/17/18,34.3333,-120.805,5.859,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/17/18,34.225,-119.41,224,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/17/18,34.1783,-119.507,135.636,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/18/18,34.1483,-121.148,7.378,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/20/18,35.643,-121.263,6.675,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/20/18,34.3867,-122.245,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1804,SHIMADA,4/21/18,35.477,-121.607,15.375,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/2/19,32.848,-117.525,67.855,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/3/19,32.68,-117.875,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/7/19,33.485,-117.768,104.291,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/7/19,33.417,-117.905,89.438,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/7/19,32.42,-119.958,11.124,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/8/19,33.252,-118.252,174.688,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/9/19,34.2233,-119.42,8.204,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/12/19,33.158,-120.003,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/13/19,32.992,-120.345,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/14/19,33.7433,-120.413,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/15/19,34.3283,-120.79,0,Thysanoessa spinifera - All phases and stages
